Ticker,Sector,Forward_Annual_Dividend_Yield,Trailing_Annual_Dividend_Yield,5_Year_Average_Dividend_Yield,Payout_Ratio,Profit_Margin,Return_on_Equity,Total_Cash_(mrq),Total_Debt/Equity_(mrq),Operating_Cash_Flow,Levered_Free_Cash_Flow,Stock_Price,Market_Cap
TMUS,Communication Services,0.41,0.41,,0.0,9.93,11.54,5030000000.0,176.05,18040000000.0,8550000000.0,158.96,185540000000.0
TSLA,Consumer Discretionary,,0.0,,0.0,11.21,22.46,26080000000.0,15.02,12160000000.0,1610000000.0,231.4,753440000000.0
TXN,Information Technology,3.29,3.14,2.61,64.25,39.21,45.61,8950000000.0,67.48,6540000000.0,-138380000.0,158.74,143420000000.0
TTD,Communication Services,,0.0,,0.0,8.35,7.51,1520000000.0,11.51,680680000.0,550810000.0,72.04,34980000000.0
VRSK,Industrials,0.56,0.55,,24.95,19.04,66.78,418100000.0,783.22,1060000000.0,419010000.0,245.64,35270000000.0
VRTX,Health Care,,0.0,,0.0,35.94,23.49,11930000000.0,4.51,4380000000.0,3920000000.0,391.09,92180000000.0
WBA,Consumer Staples,8.37,8.37,4.52,38.17,-2.21,-11.98,739000000.0,121.14,2260000000.0,3190000000.0,23.17,19770000000.0
WBD,Communication Services,,0.0,,0.0,-11.48,-9.91,2470000000.0,97.11,6740000000.0,21500000000.0,11.16,27390000000.0
WDAY,Information Technology,,0.0,,0.0,0.96,1.11,6880000000.0,49.45,1850000000.0,1700000000.0,276.01,72790000000.0
XEL,Utilities,3.4,3.35,2.74,64.79,11.75,10.33,635000000.0,157.06,5120000000.0,-1030000000.0,61.86,33750000000.0
ZM,Information Technology,,0.0,,0.0,5.21,3.56,6490000000.0,1.07,1460000000.0,1620000000.0,69.68,21700000000.0
ZS,Information Technology,,0.0,,0.0,-9.54,-27.07,2320000000.0,151.68,594690000.0,572940000.0,211.74,31260000000.0
