,Payout_Ratio,5_Year_Average_Dividend_Yield,Return_on_Equity,Levered_Free_Cash_Flow,Trailing_Annual_Dividend_Yield,discretized FADY
52,-0.8201327901782199,-1.189554539386046,-0.208583666306668,-0.3693457637289832,-0.5465677148756493,1
53,0.306330356546872,0.839724578234682,-0.2357584432476895,1.1383597328310473,7.3079043787848255,1
54,1.5453205313422786,0.2777876351150212,-0.2421875977922725,-0.3832814219278215,0.6052364967388727,1
55,0.1047359988378634,-0.3174460627648824,0.5145305200995351,-0.2731233618798616,-0.1163757804172133,0
56,1.8089439221925208,2.658722426634636,-0.2527923887936467,-0.2936950477924324,1.4378660473035874,2
57,0.147679175627948,-0.4399941770342744,0.0474557564327602,-0.2173807290845083,-0.0932471817904157,0
58,-0.8201327901782199,-0.9435738887526826,-0.6994529297827763,-0.612887980822967,-0.5465677148756493,1
59,-0.8201327901782199,-1.0823584283488812,-0.0911356059664488,-0.3773089969854623,-0.5465677148756493,1
60,-0.0443722539054861,-0.5275285443695543,9.296026548618716,-0.3102851170767637,-0.1533815382200896,0
61,-0.3823509601237454,-1.0877484953153462,-0.3170839342394778,-0.3567373110728914,-0.3430360469598301,0
62,-0.8201327901782199,-1.359105034054714,0.0060970715274008,-0.2220259484841211,-0.5465677148756493,1
63,-0.8201327901782199,-0.8745163023252861,-0.1455514397922502,1.4986960376867235,-0.5465677148756493,1
64,0.4693553795462677,-0.3787201198995784,-0.0378465311845434,-0.3195755558759893,0.2213017595340319,1
65,0.4347622649098105,-1.367858470788242,-0.3754102847470359,-0.7953787429506116,-0.2736502510794372,0
66,0.227998821105699,-0.7726247729083382,-0.0339360145027867,2.8909346520278083,-0.1996387354736848,0
67,-0.8201327901782199,-1.2165739919174219,-0.4392378705865569,-0.5286104288585639,-0.5465677148756493,1
68,1.0610169264318792,0.1902532677797411,-0.1826682082970598,-0.1636289046032748,0.4664649049780868,1
69,-0.8201327901782199,-1.195673459440513,-0.1518480344493161,-0.3924869195723113,-0.5465677148756493,1
70,-0.8201327901782199,-1.0878976874440105,-0.1524445539431434,0.7415252755498422,-0.5465677148756493,1
71,-0.7362345466346286,-1.516666895258218,0.165301496435531,0.4813929891715269,-0.5326905556995707,0
72,0.6136921682018303,-0.5275285443695543,-0.0594537928498434,-0.3434652556454264,0.2721846765129868,1
73,-0.8201327901782199,-1.226240954333359,-0.11448142877053036,-0.3408108445599334,-0.5465677148756493,1
74,-0.2893074104118952,-1.359105034054714,-0.0773493776646623,-0.4325313652080589,-0.3661646455866277,0
75,-0.8201327901782199,-1.2068795842415336,-0.0691969445823559,-0.4382595843305528,-0.5465677148756493,1
76,-0.3040194246825723,-0.3174460627648824,-0.1049881142119938,-0.4596090126911731,-0.0654928634382585,0
77,-0.8201327901782199,-1.1093280885338075,0.0106703876467435,-0.2956858561065522,-0.5465677148756493,1
78,2.209349283559329,0.7242129085249491,0.0216728583106692,-0.3434652556454264,0.679248012344625,1
79,-0.8201327901782199,-1.1165217082892023,-0.1684180203889633,-0.1576564796609155,-0.5465677148756493,1
80,-0.8201327901782199,-0.7533377025162349,-0.0617073109376354,3.1338132663504186,-0.5465677148756493,1
81,2.3807243687123525,0.750473218725533,-0.0021216414986641,-0.0375443780423567,0.7810138463025347,1
82,1.0705598546074533,0.5578976105879169,-0.0474571230295388,0.1967074002524014,0.5034706627809631,1
83,-0.8201327901782199,-1.3292349404112354,-0.1790228113903375,-0.2206987429413746,-0.5465677148756493,1
84,0.2172630269081779,-0.8251453933095062,-0.0332069351214422,-0.3501012833591589,-0.0978729015157753,0
85,-0.8201327901782199,-1.1892738268236664,-0.4782767574603657,-0.4733382904281143,-0.5465677148756493,1
86,0.3826737819514671,-0.6150629117048344,-0.09104873793636822,-0.3852722302419413,0.2999389948651439,1
87,1.5345847371447576,0.0151845331091813,-0.046909931641169494,-0.2784321840508476,0.4710906247034464,1
88,-0.8201327901782199,-1.1763758928072379,-0.1556259912435556,-0.3666913526434902,-0.5465677148756493,1
89,-0.8201327901782199,-1.1143987370920887,-0.2166698194452159,0.1124298482879983,-0.3569132061359087,0
90,-0.8201327901782199,-1.0973417853537082,-0.1442921208608369,-0.3481104750450391,-0.5465677148756493,1
91,1.734588606824504,0.6279251044561409,0.0091459489402959,-0.4641334563863959,0.9059082788872418,1
92,-0.8201327901782199,-1.008126477716615,-0.2433806367799272,-0.4183986169861227,-0.5465677148756493,1
93,0.1719341180741996,-0.7193724646246101,0.1494605898772283,-0.4271449015128222,-0.2921531299808753,0
94,-0.8201327901782199,-1.2442345676949855,-0.1374652866537023,-0.1948182348578177,-0.5465677148756493,1
95,0.6975904117454216,2.299831520559988,-0.3725602471654167,-0.2432612371680652,3.3251596952502736,4
96,-0.8201327901782199,-0.9802270296155646,-0.3588402988073887,0.9717954372163607,-0.5465677148756493,1
97,-0.8201327901782199,-0.9569755227656017,-0.285799800785424,-0.3421380501026799,-0.5465677148756493,1
98,1.7560601952195465,0.7417197819920052,-0.2246896926400051,-0.523301606687578,1.0030483931197918,2
99,-0.8201327901782199,-0.9743791132778125,-0.2695612145645697,-0.3474468722736659,-0.5465677148756493,1
100,-0.8201327901782199,-1.014716557476893,-0.472576682297127,-0.4169300640530737,-0.5465677148756493,1
